Sequence,Domain,Model,ModelType,Class,ClassDescription,Attribute,AttributeDescription,DataType,Context,SubContext,Nulls,IsPK,Relationship,FromClass,FromAttribute,FromCardinality,ToClass,ToAttribute,ToCardinality
946,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONDITIONATTRIBUTE,"The CONDITIONATTRIBUTE table records attributes that are added to the TermCondition Entity. The attribues are functionally ""executable"" and are used by business rules to enforce the condition or to perform a calculation described by the condition. This table is used by the following domains. v Account Domain v Product Domain 104 InfoSphere MDM 11.3: MDM Physical Data Dictionary",VALUE,The value associated with this Condition Attribute.,VARCHAR(250),,,Null,No,,,,,,,
947,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONDITIONATTRIBUTE,"The CONDITIONATTRIBUTE table records attributes that are added to the TermCondition Entity. The attribues are functionally ""executable"" and are used by business rules to enforce the condition or to perform a calculation described by the condition. This table is used by the following domains. v Account Domain v Product Domain 104 InfoSphere MDM 11.3: MDM Physical Data Dictionary",CONDITION_ID,The ID of the term condition associated with this condition attribute,BIGINT,,,Not Null,No,,,,,,,
948,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONDITIONATTRIBUTE,"The CONDITIONATTRIBUTE table records attributes that are added to the TermCondition Entity. The attribues are functionally ""executable"" and are used by business rules to enforce the condition or to perform a calculation described by the condition. This table is used by the following domains. v Account Domain v Product Domain 104 InfoSphere MDM 11.3: MDM Physical Data Dictionary",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
949,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONDITIONATTRIBUTE,"The CONDITIONATTRIBUTE table records attributes that are added to the TermCondition Entity. The attribues are functionally ""executable"" and are used by business rules to enforce the condition or to perform a calculation described by the condition. This table is used by the following domains. v Account Domain v Product Domain 104 InfoSphere MDM 11.3: MDM Physical Data Dictionary",LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
950,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONDITIONATTRIBUTE,"The CONDITIONATTRIBUTE table records attributes that are added to the TermCondition Entity. The attribues are functionally ""executable"" and are used by business rules to enforce the condition or to perform a calculation described by the condition. This table is used by the following domains. v Account Domain v Product Domain 104 InfoSphere MDM 11.3: MDM Physical Data Dictionary",LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
951,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACT,"A CONTACT is a legal entity that is tracked in the system, and can be further refined by one of two subtypes: PERSON or ORG. CONTACT can include clients, suspect duplicates, prospects, CSRs, agents, competitors, contact persons, and any other entity whose name, address, telephone number, and relationship to another contact is relevant. This table is used by the following domains. v Account Domain v Party Domain ",CONT_ID,"A unique, system-generated key that identifies a party in the system.",BIGINT,,,Not Null,Yes,,,,,,,
952,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACT,"A CONTACT is a legal entity that is tracked in the system, and can be further refined by one of two subtypes: PERSON or ORG. CONTACT can include clients, suspect duplicates, prospects, CSRs, agents, competitors, contact persons, and any other entity whose name, address, telephone number, and relationship to another contact is relevant. This table is used by the following domains. v Account Domain v Party Domain ",ACCE_COMP_TP_CD,Represents one of the various types of access a party can have to a computer and related technologies.,BIGINT,,,Null,No,,,,,,,
953,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACT,"A CONTACT is a legal entity that is tracked in the system, and can be further refined by one of two subtypes: PERSON or ORG. CONTACT can include clients, suspect duplicates, prospects, CSRs, agents, competitors, contact persons, and any other entity whose name, address, telephone number, and relationship to another contact is relevant. This table is used by the following domains. v Account Domain v Party Domain ",PREF_LANG_TP_CD,"Identifies a preferred spoken language. For example, English, French, Spanish, and so forth.",BIGINT,,,Null,No,,,,,,,
954,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACT,"A CONTACT is a legal entity that is tracked in the system, and can be further refined by one of two subtypes: PERSON or ORG. CONTACT can include clients, suspect duplicates, prospects, CSRs, agents, competitors, contact persons, and any other entity whose name, address, telephone number, and relationship to another contact is relevant. This table is used by the following domains. v Account Domain v Party Domain ",CREATED_DT,The date that the party was created.,TIMESTAMP,,,Not Null,No,,,,,,,
955,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACT,"A CONTACT is a legal entity that is tracked in the system, and can be further refined by one of two subtypes: PERSON or ORG. CONTACT can include clients, suspect duplicates, prospects, CSRs, agents, competitors, contact persons, and any other entity whose name, address, telephone number, and relationship to another contact is relevant. This table is used by the following domains. v Account Domain v Party Domain ",INACTIVATED_DT,"The date which the party row was considered inactive through business processes such as collapsing and splitting, resulting in a new party record created, and so forth.",TIMESTAMP,,,Null,No,,,,,,,
956,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACT,"A CONTACT is a legal entity that is tracked in the system, and can be further refined by one of two subtypes: PERSON or ORG. CONTACT can include clients, suspect duplicates, prospects, CSRs, agents, competitors, contact persons, and any other entity whose name, address, telephone number, and relationship to another contact is relevant. This table is used by the following domains. v Account Domain v Party Domain ",CONTACT_NAME,"Identifies the full name of the person to be contacted within the corporation. For trusts, this identifies the trustee.",VARCHAR(255),,,Null,No,,,,,,,
957,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACT,"A CONTACT is a legal entity that is tracked in the system, and can be further refined by one of two subtypes: PERSON or ORG. CONTACT can include clients, suspect duplicates, prospects, CSRs, agents, competitors, contact persons, and any other entity whose name, address, telephone number, and relationship to another contact is relevant. This table is used by the following domains. v Account Domain v Party Domain ",PERSON_ORG_CODE,A pointer to the type of party: person or organization.,CHAR(1),,,Not Null,No,,,,,,,
958,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACT,"A CONTACT is a legal entity that is tracked in the system, and can be further refined by one of two subtypes: PERSON or ORG. CONTACT can include clients, suspect duplicates, prospects, CSRs, agents, competitors, contact persons, and any other entity whose name, address, telephone number, and relationship to another contact is relevant. This table is used by the following domains. v Account Domain v Party Domain ",SOLICIT_IND,Determines whether this party can be solicited at any location group.,CHAR(1),,,Null,No,,,,,,,
959,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACT,"A CONTACT is a legal entity that is tracked in the system, and can be further refined by one of two subtypes: PERSON or ORG. CONTACT can include clients, suspect duplicates, prospects, CSRs, agents, competitors, contact persons, and any other entity whose name, address, telephone number, and relationship to another contact is relevant. This table is used by the following domains. v Account Domain v Party Domain ",CONFIDENTIAL_IND,Indicates whether this party's information must be kept confidential.,CHAR(1),,,Null,No,,,,,,,
960,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACT,"A CONTACT is a legal entity that is tracked in the system, and can be further refined by one of two subtypes: PERSON or ORG. CONTACT can include clients, suspect duplicates, prospects, CSRs, agents, competitors, contact persons, and any other entity whose name, address, telephone number, and relationship to another contact is relevant. This table is used by the following domains. v Account Domain v Party Domain ",CLIENT_IMP_TP_CD,"An identifier that uniquely separates one client importance type from another. Examples include high, medium, or low.",BIGINT,,,Null,No,,,,,,,
961,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACT,"A CONTACT is a legal entity that is tracked in the system, and can be further refined by one of two subtypes: PERSON or ORG. CONTACT can include clients, suspect duplicates, prospects, CSRs, agents, competitors, contact persons, and any other entity whose name, address, telephone number, and relationship to another contact is relevant. This table is used by the following domains. v Account Domain v Party Domain ",CLIENT_ST_TP_CD,"An identifier that uniquely separates one client status type from another. Examples include prospect, active, or suspended.",BIGINT,,,Null,No,,,,,,,
962,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACT,"A CONTACT is a legal entity that is tracked in the system, and can be further refined by one of two subtypes: PERSON or ORG. CONTACT can include clients, suspect duplicates, prospects, CSRs, agents, competitors, contact persons, and any other entity whose name, address, telephone number, and relationship to another contact is relevant. This table is used by the following domains. v Account Domain v Party Domain ",CLIENT_POTEN_TP_CD,"An identifier that uniquely separates one client potential type from another. Examples include high, medium, or low.",BIGINT,,,Null,No,,,,,,,
963,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACT,"A CONTACT is a legal entity that is tracked in the system, and can be further refined by one of two subtypes: PERSON or ORG. CONTACT can include clients, suspect duplicates, prospects, CSRs, agents, competitors, contact persons, and any other entity whose name, address, telephone number, and relationship to another contact is relevant. This table is used by the following domains. v Account Domain v Party Domain ",RPTING_FREQ_TP_CD,"Describes the frequency that a particular Party (CONTACT) would like to receive consolidated statements. Sample values include annually, semi-annually, monthly, and others. No business logic is currently being invoked on this field.",BIGINT,,,Null,No,,,,,,,
964,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACT,"A CONTACT is a legal entity that is tracked in the system, and can be further refined by one of two subtypes: PERSON or ORG. CONTACT can include clients, suspect duplicates, prospects, CSRs, agents, competitors, contact persons, and any other entity whose name, address, telephone number, and relationship to another contact is relevant. This table is used by the following domains. v Account Domain v Party Domain ",LAST_STATEMENT_DT,The last time a consolidated statement was sent to the Party. No business logic is currently being invoked on this field.,TIMESTAMP,,,Null,No,,,,,,,
